component_number,component,explained_variance_ratio,cumulative_explained_variance
407,PC407,1.020483989176358e-06,0.9999797816456133
408,PC408,1.0087403725771495e-06,0.9999807903859859
409,PC409,9.448090032866407e-07,0.9999817351949891
410,PC410,9.281401688994192e-07,0.9999826633351581
411,PC411,8.571400272231993e-07,0.9999835204751852
412,PC412,8.491355336344831e-07,0.9999843696107189
413,PC413,8.032806902367416e-07,0.9999851728914091
414,PC414,8.002927504590774e-07,0.9999859731841596
415,PC415,7.537778876473715e-07,0.9999867269620473
416,PC416,7.29199601179141e-07,0.9999874561616484
417,PC417,7.13968679522939e-07,0.9999881701303279
418,PC418,7.050788771224285e-07,0.9999888752092051
419,PC419,6.878110930940682e-07,0.9999895630202982
420,PC420,6.505617316941663e-07,0.9999902135820299
421,PC421,6.3635702624818e-07,0.9999908499390562
422,PC422,6.171534470208583e-07,0.9999914670925032
423,PC423,5.875756637214546e-07,0.9999920546681669
424,PC424,5.740711428238645e-07,0.9999926287393097
425,PC425,5.514078950170839e-07,0.9999931801472047
426,PC426,5.25364459486436e-07,0.9999937055116642
427,PC427,5.017526719233186e-07,0.9999942072643362
428,PC428,4.6849190488468966e-07,0.9999946757562411
429,PC429,4.5079781903376423e-07,0.9999951265540602
430,PC430,4.31175399601929e-07,0.9999955577294598
431,PC431,4.1579629926415223e-07,0.9999959735257591
432,PC432,3.8775562440938456e-07,0.9999963612813835
433,PC433,3.8092468318317103e-07,0.9999967422060666
434,PC434,3.7544791869398273e-07,0.9999971176539852
435,PC435,3.520109849300212e-07,0.9999974696649702
436,PC436,3.2811312344551905e-07,0.9999977977780936
437,PC437,2.9922347957415644e-07,0.9999980970015732
438,PC438,2.9295415132895134e-07,0.9999983899557245
439,PC439,2.7559001070180494e-07,0.9999986655457352
440,PC440,2.523241177236542e-07,0.999998917869853
441,PC441,2.2361980778293508e-07,0.9999991414896607
442,PC442,2.1497486803677725e-07,0.9999993564645288
443,PC443,1.653095662977194e-07,0.999999521774095
444,PC444,7.513392357087285e-08,0.9999995969080185
445,PC445,4.76166993190604e-08,0.9999996445247179
446,PC446,4.312104632018671e-08,0.9999996876457642
447,PC447,3.785245216979386e-08,0.9999997254982164
448,PC448,3.256288194315056e-08,0.9999997580610983
449,PC449,2.9784378526254687e-08,0.9999997878454768
450,PC450,2.8178918507436922e-08,0.9999998160243954
451,PC451,2.4084307709982326e-08,0.999999840108703
452,PC452,2.3069891948843713e-08,0.999999863178595
453,PC453,2.2433280363963496e-08,0.9999998856118754
454,PC454,1.794434270092132e-08,0.999999903556218
455,PC455,1.7588348266408872e-08,0.9999999211445663
456,PC456,1.2838686658167552e-08,0.9999999339832529
457,PC457,1.212258862735803e-08,0.9999999461058415
458,PC458,1.1714009504285045e-08,0.9999999578198511
459,PC459,9.65879182716331e-09,0.999999967478643
460,PC460,7.655608119982596e-09,0.9999999751342511
461,PC461,6.975618171364627e-09,0.9999999821098693
462,PC462,6.397543187420871e-09,0.9999999885074125
463,PC463,6.3368408099814094e-09,0.9999999948442533
464,PC464,4.642595615222983e-09,0.9999999994868489
465,PC465,2.504576408629353e-10,0.9999999997373066
466,PC466,1.4863721570847383e-10,0.9999999998859438
467,PC467,1.0892585367811064e-10,0.9999999999948697
468,PC468,3.640833807212689e-12,0.9999999999985105
469,PC469,1.2379809870189166e-12,0.9999999999997485
470,PC470,2.5113479775043765e-13,0.9999999999999997
471,PC471,3.531888663229907e-18,0.9999999999999997
472,PC472,3.120660965777699e-18,0.9999999999999997
473,PC473,2.707462485256775e-18,0.9999999999999997
474,PC474,2.44699008978139e-18,0.9999999999999997
475,PC475,2.2796732054947517e-18,0.9999999999999997
476,PC476,2.2166256853258603e-18,0.9999999999999997
477,PC477,2.109783017879702e-18,0.9999999999999997
478,PC478,2.0376863355734964e-18,0.9999999999999997
479,PC479,1.8875026820558686e-18,0.9999999999999997
480,PC480,1.8563149520923465e-18,0.9999999999999997
481,PC481,1.4719888183211854e-18,0.9999999999999997
482,PC482,1.3767402307206316e-18,0.9999999999999997
483,PC483,1.329118892979588e-18,0.9999999999999997
484,PC484,1.305256416711609e-18,0.9999999999999997
485,PC485,1.2985771430716495e-18,0.9999999999999997
486,PC486,1.2713642796137946e-18,0.9999999999999997
487,PC487,1.1967014388073033e-18,0.9999999999999997
488,PC488,1.0241185771420364e-18,0.9999999999999997
489,PC489,1.0105039821230534e-18,0.9999999999999997
490,PC490,9.747881009304088e-19,0.9999999999999997
491,PC491,9.561899449464552e-19,0.9999999999999997
492,PC492,9.234656706450822e-19,0.9999999999999997
493,PC493,8.967318859934065e-19,0.9999999999999997
494,PC494,8.893567674729181e-19,0.9999999999999997
495,PC495,8.630127495143722e-19,0.9999999999999997
496,PC496,8.425207727802443e-19,0.9999999999999997
497,PC497,7.716857196565224e-19,0.9999999999999997
498,PC498,6.991575899036899e-19,0.9999999999999997
499,PC499,6.834129803445081e-19,0.9999999999999997
500,PC500,6.5367717317637e-19,0.9999999999999997
501,PC501,5.944430746045109e-19,0.9999999999999997
502,PC502,5.55413417792663e-19,0.9999999999999997
503,PC503,5.270792038330517e-19,0.9999999999999997
504,PC504,4.833450214269488e-19,0.9999999999999997
505,PC505,4.693585551768373e-19,0.9999999999999997
506,PC506,4.575816637648059e-19,0.9999999999999997
507,PC507,4.327410727737989e-19,0.9999999999999997
508,PC508,4.2644002832089913e-19,0.9999999999999997
509,PC509,4.1764995996427247e-19,0.9999999999999997
510,PC510,4.042794669768923e-19,0.9999999999999997
511,PC511,3.9957136623587397e-19,0.9999999999999997
512,PC512,3.910499131246598e-19,0.9999999999999997
513,PC513,3.8541885030953797e-19,0.9999999999999997
514,PC514,3.7360274832520245e-19,0.9999999999999997
515,PC515,3.640216737975305e-19,0.9999999999999997
516,PC516,3.576276530306322e-19,0.9999999999999997
